ori,des,path,len,primary,secondary,tertiary,residential,unclassified
331,393,331_52_361_0_367_352_246_30_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,26,8,18,0,0,0
177,240,177_178_188_189_210_201_233_243_237_239_240,11,10,0,0,1,0
47,13,47_45_42_38_36_247_13,7,0,1,6,0,0
317,89,317_315_303_272_306_387_398_386_90_89,10,8,2,0,0,0
177,221,177_178_188_190_192_182_221,7,3,0,4,0,0
232,155,232_199_207_146_147_149_225_152_153_155,10,10,0,0,0,0
93,239,93_77_75_308_235_231_233_243_237_239,10,9,0,1,0,0
130,66,130_128_69_144_64_66,6,0,0,1,5,0
177,240,177_178_188_189_210_201_233_243_237_239_240,11,10,0,0,1,0
55,67,55_132_134_53_61_63_64_67,8,0,3,5,0,0
177,244,177_178_188_189_210_201_233_244,8,8,0,0,0,0
177,240,177_178_188_189_210_201_233_243_237_239_240,11,10,0,0,1,0
317,89,317_315_303_272_306_387_398_386_90_89,10,8,2,0,0,0
317,89,317_315_303_272_306_387_398_386_90_89,10,8,2,0,0,0
414,202,414_248_411_413_185_222_213_295_202,9,0,9,0,0,0
331,67,331_53_61_63_64_67,6,1,0,5,0,0
177,221,177_178_188_190_192_182_221,7,3,0,4,0,0
177,23,177_178_188_189_210_201_233_244_34_33_31_358_40_50_20_23,16,14,2,0,0,0
47,393,47_45_42_38_36_246_30_234_377_229_197_195_194_181_313_183_180_418_249_165_175_160_168_167_393,25,2,19,4,0,0
317,400,317_315_303_272_306_387_398_386_91_85_312_348_83_77_75_308_235_231_233_243_236_400,22,20,0,1,1,0
55,74,55_132_134_52_361_0_366_363_359_381_380_37_39_74,14,7,3,0,4,0
177,221,177_178_188_190_192_182_221,7,3,0,4,0,0
177,240,177_178_188_189_210_201_233_243_237_239_240,11,10,0,0,1,0
93,51,93_78_49_365_47_44_51,7,1,5,1,0,0
414,202,414_248_411_413_185_222_213_295_202,9,0,9,0,0,0
94,8,94_307_357_35_339_362_353_1_127_409_71_26_342_8,14,6,8,0,0,0
177,32,177_178_188_189_210_201_233_244_34_32,10,9,0,0,1,0
317,89,317_315_303_272_306_387_398_386_90_89,10,8,2,0,0,0
45,8,45_41_378_382_353_1_127_409_71_26_342_8,12,4,7,1,0,0
177,240,177_178_188_189_210_201_233_243_237_239_240,11,10,0,0,1,0
414,202,414_248_411_413_185_222_213_295_202,9,0,9,0,0,0
93,51,93_78_49_365_47_44_51,7,1,5,1,0,0
